"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RELIANCE","EQ","06-Jan-2022","       2469.60","       2451.20","       2454.00","       2409.00","       2419.15","       2416.50","       2423.21","    6667483","         16156735762.35","     227953","    3950375","         59.25"
"RELIANCE","EQ","07-Jan-2022","       2416.50","       2430.95","       2458.05","       2411.55","       2439.90","       2436.00","       2436.73","    6051239","         14745214277.80","     191088","    3342839","         55.24"
"RELIANCE","EQ","10-Jan-2022","       2436.00","       2452.00","       2457.00","       2416.05","       2440.20","       2438.00","       2432.54","    4267365","         10380527641.00","     214098","    2152906","         50.45"
"RELIANCE","EQ","11-Jan-2022","       2438.00","       2436.00","       2474.95","       2435.00","       2455.80","       2455.55","       2459.51","    7478681","         18393912175.85","     209712","    4746648","         63.47"
"RELIANCE","EQ","12-Jan-2022","       2455.55","       2471.30","       2524.95","       2465.00","       2518.00","       2521.10","       2505.89","    6830402","         17116227265.60","     267056","    3238315","         47.41"
"RELIANCE","EQ","13-Jan-2022","       2521.10","       2521.25","       2541.00","       2508.40","       2536.25","       2535.30","       2525.55","    5471871","         13819465157.00","     186278","    3115794","         56.94"
"RELIANCE","EQ","14-Jan-2022","       2535.30","       2535.00","       2567.30","       2525.85","       2537.00","       2539.00","       2545.66","    9197773","         23414360751.05","     195865","    5804124","         63.10"
"RELIANCE","EQ","17-Jan-2022","       2539.00","       2538.00","       2565.00","       2537.00","       2553.00","       2552.25","       2555.10","    3708822","          9476427091.05","     160043","    2207498","         59.52"
"RELIANCE","EQ","18-Jan-2022","       2552.25","       2554.75","       2562.35","       2515.75","       2523.00","       2521.80","       2540.02","    2868235","          7285364914.75","     158330","    1312810","         45.77"
"RELIANCE","EQ","19-Jan-2022","       2521.80","       2530.00","       2542.00","       2509.00","       2521.40","       2521.60","       2522.72","    4502155","         11357696261.65","     153189","    2589631","         57.52"
"RELIANCE","EQ","20-Jan-2022","       2521.60","       2500.05","       2509.95","       2455.00","       2482.10","       2477.45","       2480.98","    7612203","         18885733850.80","     251195","    5220672","         68.58"
"RELIANCE","EQ","21-Jan-2022","       2477.45","       2452.00","       2502.25","       2452.00","       2476.05","       2477.85","       2475.83","    6155759","         15240631432.55","     236838","    3203303","         52.04"
"RELIANCE","EQ","24-Jan-2022","       2477.85","       2475.00","       2504.75","       2355.10","       2379.90","       2377.90","       2418.60","   10092511","         24409735846.55","     399996","    5366991","         55.21"
"RELIANCE","EQ","25-Jan-2022","       2377.90","       2349.55","       2388.65","       2305.00","       2368.10","       2373.25","       2343.88","   11311456","         26512743789.90","     482175","    6446850","         56.99"
"RELIANCE","EQ","27-Jan-2022","       2373.25","       2336.00","       2356.10","       2311.05","       2347.00","       2338.10","       2333.67","    9239426","         21561779760.10","     315266","    5271565","         57.06"
"RELIANCE","EQ","28-Jan-2022","       2338.10","       2365.00","       2375.90","       2328.40","       2336.00","       2335.85","       2347.94","    6769154","         15893536411.75","     255535","    4021895","         59.42"
"RELIANCE","EQ","31-Jan-2022","       2335.85","       2360.20","       2406.40","       2356.20","       2384.05","       2386.60","       2388.27","    5604308","         13384612779.60","     268776","    2989691","         53.35"
"RELIANCE","EQ","01-Feb-2022","       2386.60","       2408.00","       2420.60","       2347.10","       2382.80","       2378.70","       2394.79","    6092033","         14589169629.60","     227599","    2933488","         48.15"
"RELIANCE","EQ","02-Feb-2022","       2378.70","       2407.00","       2407.00","       2375.10","       2385.00","       2383.55","       2384.84","    4623163","         11025484207.55","     153391","    2821709","         61.03"
"RELIANCE","EQ","03-Feb-2022","       2383.55","       2392.00","       2401.45","       2347.20","       2348.45","       2352.75","       2367.01","    4417864","         10457143007.15","     236441","    2596474","         58.77"
"RELIANCE","EQ","04-Feb-2022","       2352.75","       2341.00","       2348.45","       2321.10","       2330.50","       2331.30","       2334.17","    5104761","         11915365723.15","     230586","    2346527","         45.97"
"RELIANCE","EQ","07-Feb-2022","       2331.30","       2342.00","       2356.80","       2305.00","       2319.40","       2317.10","       2330.89","    4944725","         11525587391.70","     243702","    2190778","         44.31"
"RELIANCE","EQ","08-Feb-2022","       2317.10","       2330.65","       2360.00","       2310.00","       2357.50","       2356.05","       2338.32","    5566080","         13015260812.95","     186348","    2963152","         53.24"
"RELIANCE","EQ","09-Feb-2022","       2356.05","       2371.15","       2387.20","       2358.00","       2384.00","       2383.50","       2373.06","    5300891","         12579355094.55","     180905","    3104784","         58.57"
"RELIANCE","EQ","10-Feb-2022","       2383.50","       2395.70","       2395.70","       2365.10","       2376.95","       2381.05","       2381.99","    5752361","         13702086540.00","     210155","    3608073","         62.72"
"RELIANCE","EQ","11-Feb-2022","       2381.05","       2373.25","       2384.50","       2344.10","       2372.55","       2376.40","       2367.97","    7357863","         17423186717.85","     283837","    4905802","         66.67"
"RELIANCE","EQ","14-Feb-2022","       2376.40","       2340.25","       2354.95","       2313.00","       2332.00","       2338.55","       2338.11","    4947109","         11566867666.20","     219862","    2751275","         55.61"
"RELIANCE","EQ","15-Feb-2022","       2338.55","       2351.20","       2423.90","       2335.70","       2415.10","       2417.95","       2381.19","    5174646","         12321814147.55","     261746","    2563105","         49.53"
"RELIANCE","EQ","16-Feb-2022","       2417.95","       2430.00","       2433.00","       2395.95","       2407.65","       2412.95","       2417.77","    4796294","         11596325561.15","     190438","    2607957","         54.37"
"RELIANCE","EQ","17-Feb-2022","       2412.95","       2420.10","       2454.90","       2410.00","       2441.00","       2443.50","       2439.61","    5931774","         14471212589.25","     211881","    2872619","         48.43"
"RELIANCE","EQ","18-Feb-2022","       2443.50","       2444.40","       2456.40","       2420.15","       2427.30","       2424.40","       2440.25","    3126873","          7630367399.75","     158691","    1216161","         38.89"
"RELIANCE","EQ","21-Feb-2022","       2424.40","       2412.00","       2437.50","       2384.60","       2399.60","       2399.90","       2409.12","    5125968","         12349078484.55","     226214","    2888548","         56.35"
"RELIANCE","EQ","22-Feb-2022","       2399.90","       2352.90","       2395.90","       2347.15","       2389.75","       2389.00","       2372.16","    6227901","         14773584971.00","     197401","    3920789","         62.96"
"RELIANCE","EQ","23-Feb-2022","       2389.00","       2401.10","       2406.55","       2368.00","       2371.25","       2374.05","       2391.23","    3373615","          8067102258.45","     195350","    1928054","         57.15"
"RELIANCE","EQ","24-Feb-2022","       2374.05","       2305.00","       2339.90","       2243.40","       2250.00","       2255.75","       2291.15","   11466725","         26272008237.55","     493459","    7266877","         63.37"
